Order ID,Date,Customer ID,Product ID,Product Name,Category,Qty,Price,Coupon (Y/N),Coupon Amount,Tracking
201900,5/12/2025,128381,300185-Green,SunShield Rash Guard,Apparel,2,29.99,N, -   ,4UPS798252366
,,,,,,,,,,
201902,5/12/2025,115778,200549-Aqua,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,4DHL86996130
,,,,,,,,,,
201903,5/14/2025,105996,200559-Purple,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,4DHL592519614
201903,5/14/2025,105996,100254-Aqua,Carve Performance Board,Boards,1,799,N, -   ,4DHL592519614
201903,5/14/2025,105996,200549-Pink,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,4DHL592519614
201903,5/14/2025,105996,300185-Aqua,SunShield Rash Guard,Apparel,3,29.99,N, -   ,4DHL592519614
,,,,,,,,,,
201904,5/13/2025,103720,300189-Aqua,HydroCap Waterproof Hat,Apparel,1,24.99,N, -   ,3USP398878330
,,,,,,,,,,
201905,5/17/2025,113232,200549-Blue,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,2USP765508310
201905,5/17/2025,113232,300191-Black,Logo Tshirt,Apparel,3,21.99,N, -   ,2USP765508310
,,,,,,,,,,
201908,5/15/2025,115825,300191-Aqua,Logo Tshirt,Apparel,1,21.99,N, -   ,5UPS747816359
201908,5/15/2025,115825,100254-Pink,Carve Performance Board,Boards,1,799,N, -   ,5UPS747816359
201908,5/15/2025,115825,200557-Blue,SeaPulse GPS Tracker,Accessories,5,129.99,N, -   ,5UPS747816359
201908,5/15/2025,115825,200558-Green,AquaLume LED Light Kit,Accessories,2,18.99,N, -   ,5UPS747816359
201908,5/15/2025,115825,300185-Black,SunShield Rash Guard,Apparel,1,29.99,N, -   ,5UPS747816359
,,,,,,,,,,
201909,5/13/2025,126252,100251-Aqua,AquaGlide Touring Board,Boards,4,399,N, -   ,3DHL619312716
,,,,,,,,,,
201912,5/17/2025,117897,300191-Aqua,Logo Tshirt,Apparel,3,21.99,N, -   ,3DHL127391911
,,,,,,,,,,
201918,5/13/2025,121115,200549-Green,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,3FDX714665986
,,,,,,,,,,
201921,5/13/2025,117258,100250-Black,Reef Master Eco Board,Boards,2,189,N, -   ,4FDX437049692
,,,,,,,,,,
201926,5/17/2025,103744,100254-Pink,Carve Performance Board,Boards,1,799,N, -   ,5FDX678105999
,,,,,,,,,,
201936,5/14/2025,116550,300185-Aqua,SunShield Rash Guard,Apparel,1,29.99,Y,3,5USP960045566
201936,5/14/2025,116550,200559-Blue,ShoreLine Collapsible Paddle,Accessories,1,59.99,Y,6,5USP960045566
201936,5/14/2025,116550,200550-Black,WaveRider Waterproof Case,Accessories,2,15.99,Y,3.2,5USP960045566
201936,5/14/2025,116550,200559-Blue,ShoreLine Collapsible Paddle,Accessories,5,59.99,Y,30,5USP960045566
,,,,,,,,,,
201937,5/15/2025,114108,200559-Blue,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,3UPS202203128
201937,5/15/2025,114108,200549-Purple,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,3UPS202203128
201937,5/15/2025,114108,200551-Purple,TideLock Deck Bag,Accessories,5,79.99,N, -   ,3UPS202203128
201937,5/15/2025,114108,200548-Black,AquaGrip Paddle Gloves,Accessories,1,29.99,N, -   ,3UPS202203128
,,,,,,,,,,
201946,5/17/2025,104487,100250-Pink,Reef Master Eco Board,Boards,3,189,N, -   ,3UPS234257984
,,,,,,,,,,
201951,5/14/2025,124378,300191-Purple,Logo Tshirt,Apparel,1,21.99,N, -   ,4USP70974196
,,,,,,,,,,
201960,5/17/2025,120865,200559-Blue,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,2UPS968651957
201960,5/17/2025,120865,300190-Black,ReefSafe UV Leggings,Apparel,1,35.99,N, -   ,2UPS968651957
,,,,,,,,,,
201962,5/11/2025,121163,300185-Pink,SunShield Rash Guard,Apparel,2,29.99,N, -   ,2UPS495368365
,,,,,,,,,,
201963,5/13/2025,113691,200558-Blue,AquaLume LED Light Kit,Accessories,4,18.99,N, -   ,2DHL890950445
201963,5/13/2025,113691,300191-Pink,Logo Tshirt,Apparel,1,21.99,N, -   ,2DHL890950445
201963,5/13/2025,113691,200549-Aqua,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,2DHL890950445
201963,5/13/2025,113691,200559-Aqua,ShoreLine Collapsible Paddle,Accessories,4,59.99,N, -   ,2DHL890950445
,,,,,,,,,,
201972,5/13/2025,106326,200549-Green,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,2USP402803952
,,,,,,,,,,
201974,5/14/2025,111269,200559-Black,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,3FDX121526754
